Cond,Soil,Temp,Soil,Prerinse,Step,
41707.0,0.4007523148148148,???,???,???,???,???,E3/10,C3/30,G3*100,
41707.0,0.5296412037037037,0.0,0.35,2.0,65.8,1.0,E177/10,C177/30,G177*100,
41707.0,0.5303819444444444,0.0,0.35,2.0,65.5,1.0,E178/10,C178/30,G178*100,
41707.0,0.5311226851851852,0.0,0.35,2.0,65.5,1.0,E179/10,C179/30,G179*100,
41707.0,0.531863425925926,0.0,1.11,2.0,67.9,1.0,E180/10,C180/30,G180*100,
41707.0,0.5326041666666667,0.0,1.62,2.0,65.2,1.0,E181/10,C181/30,G181*100,
41707.0,0.5333449074074074,0.0,2.75,2.0,65.3,1.0,E182/10,C182/30,G182*100,
41707.0,0.5340856481481482,0.0,3.93,2.0,68.5,1.0,E183/10,C183/30,G183*100,
41707.0,0.5348263888888889,0.0,2.67,2.0,66.0,1.0,E184/10,C184/30,G184*100,
41707.0,0.5355671296296296,0.0,2.21,2.0,66.2,1.0,E185/10,C185/30,G185*100,
41707.0,0.5363078703703704,0.0,1.7,2.0,66.3,1.0,E186/10,C186/30,G186*100,
41707.0,0.5370486111111111,0.0,1.62,2.0,69.3,1.0,E187/10,C187/30,G187*100,
41707.0,0.5377893518518518,0.0,1.77,2.0,69.2,1.0,E188/10,C188/30,G188*100,
41707.0,0.5385300925925925,0.0,1.86,2.0,68.9,1.0,E189/10,C189/30,G189*100,
41707.0,0.5392708333333334,0.0,1.78,2.0,67.4,1.0,E190/10,C190/30,G190*100,
41707.0,0.5400115740740741,0.0,1.74,2.0,66.1,1.0,E191/10,C191/30,G191*100,
41707.0,0.5407523148148148,0.0,1.74,2.0,66.4,1.0,E192/10,C192/30,G192*100,
41707.0,0.5414930555555556,0.0,1.66,2.0,65.7,1.0,E193/10,C193/30,G193*100,
41707.0,0.5422337962962963,0.0,1.54,2.0,65.4,1.0,E194/10,C194/30,G194*100,
41707.0,0.542974537037037,0.0,1.5,2.0,65.9,1.0,E195/10,C195/30,G195*100,
41707.0,0.5437152777777777,0.0,1.35,2.0,66.6,1.0,E196/10,C196/30,G196*100,
41707.0,0.5444560185185185,0.0,1.19,1.0,67.1,1.0,E197/10,C197/30,G197*100,
41707.0,0.5451967592592593,0.0,1.08,1.0,67.7,1.0,E198/10,C198/30,G198*100,
41707.0,0.5459375,0.0,1.01,1.0,67.9,1.0,E199/10,C199/30,G199*100,
41707.0,0.5466782407407408,0.0,0.96,1.0,68.1,1.0,E200/10,C200/30,G200*100,
41707.0,0.5474189814814815,0.0,0.94,1.0,68.5,1.0,E201/10,C201/30,G201*100,
41707.0,0.5481597222222222,0.0,0.93,1.0,68.3,1.0,E202/10,C202/30,G202*100,
41707.0,0.5489004629629629,0.0,0.95,114.0,67.6,0.0,E203/10,C203/30,G203*100,
